Office,Taluk,District,State,Pincode
Kareelakulangara,Karthikappally,Alappuzha,KERALA,690572
Karipuzha,Mavelikkara,Alappuzha,KERALA,690103
Karthikappally,Karthikappally,Alappuzha,KERALA,690516
Karuvatta North,Karthikappally,Alappuzha,KERALA,690517
Karuvatta,Karthikappally,Alappuzha,KERALA,690517
Kattanam,Mavelikara,Alappuzha,KERALA,690503
Kayangulam College,Karthikappally,Alappuzha,KERALA,690502
Kayangulam,Karthikappally,Alappuzha,KERALA,690502
Keerikad,Karthikappally,Alappuzha,KERALA,690508
Kodukulanji,Chengannur,Alappuzha,KERALA,689508
Kollakadavu,Chengannur,Alappuzha,KERALA,690509
Komallur,Mavelikkara,Alappuzha,KERALA,690505
Kotta,Chengannur,Alappuzha,KERALA,689504
Kozhuvallur,Chengannur,Alappuzha,KERALA,689521
Krishnapuram Alappuzha,Karthikappally,Alappuzha,KERALA,690533
Kudassanad,Mavelikkara,Alappuzha,KERALA,689512
Kumarapuram Alappuzha,Karthikappally,Alappuzha,KERALA,690548
Kunnam Alappuzha,Mavelikkara,Alappuzha,KERALA,690108
Kuttemperur,Chengannur,Alappuzha,KERALA,689623
Mahadevikadu,Karthikappally,Alappuzha,KERALA,690516
Mampra,Chengannur,Alappuzha,KERALA,689508
Mangalam,Karthikappally,Alappuzha,KERALA,690515
Mankamkuzhy,Mavelikara,Alappuzha,KERALA,690558
Mannar,Chengannur,Alappuzha,KERALA,689622
Mannarasala,Karthikappally,Alappuzha,KERALA,690514
Mavelikara Court,Mavelikkara,Alappuzha,KERALA,690101
Mavelikara Cutcherry,Mavelikkara,Alappuzha,KERALA,690101
Mavelikara,Mavelikara,Alappuzha,KERALA,690101
Melpadom,Mavelikara,Alappuzha,KERALA,689627
Mulakuzha,Chengannur,Alappuzha,KERALA,689505
Muthukulam,Karthikappally,Alappuzha,KERALA,690506
Muthukulam South,Karthikappally,Alappuzha,KERALA,690506
Muttom alleppey,Karthikappally,Alappuzha,KERALA,690511
Naduvattom,Karthikappally,Alappuzha,KERALA,690512
Nangiarkulangara,Karthikappally,Alappuzha,KERALA,690513
Neduvaramkodu,Chengannur,Alappuzha,KERALA,689508
Njakkanal,Karthikappally,Alappuzha,KERALA,690533
Nooranad,Mavelikara,Alappuzha,KERALA,690504
Nooranad Sanatorium,Mavelikkara,Alappuzha,KERALA,690571
Olakettiambalam,Chengannur,Alappuzha,KERALA,690510
Padanilam,Mavelikara,Alappuzha,KERALA,690529
Pallana,Karthikappally,Alappuzha,KERALA,690515
Pallarimangalam,Mavelikkara,Alappuzha,KERALA,690107
Pallickal Naduvilemuri,Mavelikkara,Alappuzha,KERALA,690503
Pallickal,Mavelikara,Alappuzha,KERALA,690503
Pallipad,Karthikappally,Alappuzha,KERALA,690512
Panayil,Mavelikkara,Alappuzha,KERALA,690504
Pandy,Karthikappally,Alappuzha,KERALA,690517
Pathiyoor,Karthikappally,Alappuzha,KERALA,690508
Pattolimarket,Karthikappally,Alappuzha,KERALA,690531
Pattoor,Mavelikkara,Alappuzha,KERALA,690529
Pavukara,Chengannur,Alappuzha,KERALA,689622
Payipad,Karthikappally,Alappuzha,KERALA,690514
Payyanallur,Mavelikkara,Alappuzha,KERALA,690504
Pela,Mavelikkara,Alappuzha,KERALA,690103
Pennukkara,Chengannur,Alappuzha,KERALA,689520
Peringala mulakuzha,Chengannur,Alappuzha,KERALA,689505
Peringilipuram,Chengannur,Alappuzha,KERALA,689624
Perungala,Karthikappally,Alappuzha,KERALA,690559
Poomala,Chengannur,Alappuzha,KERALA,689520
Pullikanakku,Mavelikkara,Alappuzha,KERALA,690537
Punnamoodu,Mavelikkara,Alappuzha,KERALA,690101
Punthala,Chengannur,Alappuzha,KERALA,689509
Puthenchantha,Mavelikkara,Alappuzha,KERALA,690501
Puthiyacavu,Mavelikkara,Alappuzha,KERALA,690102
Puthiyavila,Karthikappally,Alappuzha,KERALA,690531
Puthuppally,Karthikappally,Alappuzha,KERALA,690527
Thamallackal,Karthikappally,Alappuzha,KERALA,690548
Thamallackal North,Karthikappally,Alappuzha,KERALA,690514
Thamarakulam,Mavelikara,Alappuzha,KERALA,690530
Thannikunnu,Mavelikkara,Alappuzha,KERALA,690534
Thattarambalam,Mavelikkara,Alappuzha,KERALA,690103
Thazhakara,Mavelikara,Alappuzha,KERALA,690102
Thekkekara,Mavelikkara,Alappuzha,KERALA,690107
Thrikkunnapuzha,Karthikappally,Alappuzha,KERALA,690515
Thripperunthura,Mavelikara,Alappuzha,KERALA,690105
Valiyakulangara,Mavelikkara,Alappuzha,KERALA,690104
Valiyaparambu,Karthikappally,Alappuzha,KERALA,690516
Valiyazheekkal,Karthikappally,Alappuzha,KERALA,690535
Vallikunnam,Mavelikara,Alappuzha,KERALA,690501
Varenickal,Mavelikkara,Alappuzha,KERALA,690107
Vedaraplavu,Mavelikkara,Alappuzha,KERALA,690505
Veeyapuram,Karthikappally,Alappuzha,KERALA,690514
Venmony,Chengannur,Alappuzha,KERALA,689509
Vetticode,Mavelikkara,Alappuzha,KERALA,690503
Vettiyar,Mavelikkara,Alappuzha,KERALA,690558
Prayar,Karthikappally,Alappuzha,KERALA,690547
Thattakkattu Market,Karthikappally,Alappuzha,KERALA,690547
Ala Alappuzha,Chengannur,Alappuzha,KERALA,689126
Anaprambal,Kuttanad,Alappuzha,KERALA,689572
Anaprambal North,Kuttanad,Alappuzha,KERALA,689572
Angadical Chengannur,Chengannur,Alappuzha,KERALA,689122
Bhudhanoor,Chengannur,Alappuzha,KERALA,689510
Changankary,Kuttanad,Alappuzha,KERALA,689573
Chekkidikkadu,Kuttanad,Alappuzha,KERALA,689573
Chengannur,Chengannur,Alappuzha,KERALA,689121
Chengannur RS,Chengannur,Alappuzha,KERALA,689121
Cheriyanadu,Chengannur,Alappuzha,KERALA,689511
Edanad,Chengannur,Alappuzha,KERALA,689123
Edathua,Kuttanad,Alappuzha,KERALA,689573
Elanjimel,Chengannur,Alappuzha,KERALA,689511
Eramallikkara,Chengannur,Alappuzha,KERALA,689109
Kallisserry,Chengannur,Alappuzha,KERALA,689124
Karikuzhy,Kuttanad,Alappuzha,KERALA,689571
Kodupunna,Kuttanad,Alappuzha,KERALA,689595
Kunthirickal,Kuttanad,Alappuzha,KERALA,689572
Mithrakary,Kuttanad,Alappuzha,KERALA,689595
Mundancavu,Chengannur,Alappuzha,KERALA,689124
Muttar,Kuttanadu,Alappuzha,KERALA,689574
Neerattupuram,Kuttanad,Alappuzha,KERALA,689571
Pandanad North,Chengannur,Alappuzha,KERALA,689124
Pandanad,Chengannur,Alappuzha,KERALA,689506
Pandanad West,Chengannur,Alappuzha,KERALA,689506
Pandankary,Kuttanad,Alappuzha,KERALA,689573
Perisserry,Chengannur,Alappuzha,KERALA,689126
Piralassery,Chengannur,Alappuzha,KERALA,689122
Puliyoor,Chengannur,Alappuzha,KERALA,689510
Puthencavu,Chengannur,Alappuzha,KERALA,689123
Ramankary,Kuttanad,Alappuzha,KERALA,689595
Thalavady,Kuttanad,Alappuzha,KERALA,689572
Thalavady South,Kuttanad,Alappuzha,KERALA,689572
Thayamkary,Kuttanad,Alappuzha,KERALA,689573
Thonackad,Chengannur,Alappuzha,KERALA,689511
Tiruvanvandur,Chengannur,Alappuzha,KERALA,689109
Urukari,Kuttanad,Alappuzha,KERALA,689595
Vazharmangalam,Chengannur,Alappuzha,KERALA,689124
Veliyanadu North,Kuttanad,Alappuzha,KERALA,689590
Veliyanadu,Kuttanadu,Alappuzha,KERALA,689590
Veliyanadu West,Kuttanad,Alappuzha,KERALA,689590
Vezhapra,Kuttanad,Alappuzha,KERALA,689595
Kuppakkayam,Peerumade,Idukki,KERALA,686513
Mukkulam,Peerumade,Idukki,KERALA,686514
Mukkulam East,Peerumade,Idukki,KERALA,686514
Mundakayam East,Peerumade,Idukki,KERALA,686513
Wembly,Peerumade,Idukki,KERALA,686514
Adimali,Devikulam,Idukki,KERALA,685561
Adoormala,Thodupuzha,Idukki,KERALA,685590
Alakode,Thodupuzha,Idukki,KERALA,685588
Alpara,Thodupuzha,Idukki,KERALA,685606
Amaravathy,Peerumade,Idukki,KERALA,685509
Amayapra,Thodupuzha,Idukki,KERALA,685595
Anakkara Idukki,Udumbanchola,Idukki,KERALA,685512
Anakulam,Devikulam,Idukki,KERALA,685565
Anavilasam,Udumbanchola,Idukki,KERALA,685535
Anaviratty,Devikulam,Idukki,KERALA,685561
Anayirankal,Udumbanchola,Idukki,KERALA,685613
Anchiri,Thodupuzha,Idukki,KERALA,685585
Anniyartholu,Udumbanchola,Idukki,KERALA,685515
Arakulam,Thodupuzha,Idukki,KERALA,685591
Arikuzha,Thodupuzha,Idukki,KERALA,685608
Arnakal,Peerumade,Idukki,KERALA,685533
Aruvilanchal,Udumbanchola,Idukki,KERALA,685619
Attapallam,Peerumade,Idukki,KERALA,685509
Ayyappancoil,Udumbanchola,Idukki,KERALA,685507
Balagram,Udumbanchola,Idukki,KERALA,685552
Bethel,Udumbanchola,Idukki,KERALA,685514
Bisonvalley,Devikulam,Idukki,KERALA,685565
C. Kuthumkal,Udumbanchola,Idukki,KERALA,685566
Calvari Mount,Udumbanchola,Idukki,KERALA,685515
Chakkupallam,Udumbanchola,Idukki,KERALA,685509
Chathurangapara,Udumbanchola,Idukki,KERALA,685554
Chattamannar,Devikulam,Idukki,KERALA,685614
Cheenikuzhi,Thodupuzha,Idukki,KERALA,685595
Cheenthalar,Peerumade,Idukki,KERALA,685501
Chelachuvadu,Thodupuzha,Idukki,KERALA,685606
Chellarcoil,Udumbanchola,Idukki,KERALA,685512
Chembalam,Udumbanchola,Idukki,KERALA,685553
Chemmannar,Udumbanchola,Idukki,KERALA,685554
Chempakapara,Udumbanchola,Idukki,KERALA,685514
Chenkara,Peerumade,Idukki,KERALA,685533
Cheppukulam,Thodupuzha,Idukki,KERALA,685581
Chilavu,Thodupuzha,Idukki,KERALA,685588
Chinnakanal,Udumbanchola,Idukki,KERALA,685618
Chinnar,Peerumade,Idukki,KERALA,685501
Chithirapuram,Devikulam,Idukki,KERALA,685565
Chottupara,Udumbanchola,Idukki,KERALA,685552
Chottupara Periyar,Peerumade,Idukki,KERALA,685533
Combayar,Udumbanchola,Idukki,KERALA,685552
Cumbumbettu,Udumbanchola,Idukki,KERALA,685551
Devarupara,Thodupuzha,Idukki,KERALA,685588
Devikulam,Devikulam,Idukki,KERALA,685613
Dymock,Peerumade,Idukki,KERALA,685533
Edad idukki,Thodupuzha,Idukki,KERALA,685589
Edamalakudi,Devikulam,Idukki,KERALA,685612
Edavetty,Thodupuzha,Idukki,KERALA,685588
Elamdesom,Thodupuzha,Idukki,KERALA,685588
Elappara,Peermade,Idukki,KERALA,685501
Ellakallu,Udumbanchola,Idukki,KERALA,685565
Ellapatti,Devikulam,Idukki,KERALA,685615
Ellumpuram,Thodupuzha,Idukki,KERALA,685587
Erattayar North,Udumbanchola,Idukki,KERALA,685514
Erattayar,Udumbanchola,Idukki,KERALA,685514
Ettithope,Udumbanchola,Idukki,KERALA,685514
Ezhukunvayal,Udumbanchola,Idukki,KERALA,685553
Ezhumuttom,Thodupuzha,Idukki,KERALA,685605
Fair Field,Peerumade,Idukki,KERALA,685501
Glenmary,Peerumade,Idukki,KERALA,685531
Gramby,Peerumade,Idukki,KERALA,685533
Gudarle,Devikulam,Idukki,KERALA,685612
Haileyburia,Peerumade,Idukki,KERALA,685501
Idinjamala,Udumbanchola,Idukki,KERALA,685514
Idukki Colony,Thodupuzha,Idukki,KERALA,685602
Idukki Painavu,Thodupuzha,Idukki,KERALA,685603
Ilappally,Thodupuzha,Idukki,KERALA,685589
Josegiri,Udumbanchola,Idukki,KERALA,685565
Kadamakuzhy,Udumbanchola,Idukki,KERALA,685515
Kailasanadu,Udumbanchola,Idukki,KERALA,685553
Kalayanthani,Thodupuzha,Idukki,KERALA,685588
Kaliyar,Thodupuzha,Idukki,KERALA,685607
Kallar,Udumbanchola,Idukki,KERALA,685552
Kallarkutty,Devikulam,Idukki,KERALA,685562
Kaloor East,Thodupuzha,Idukki,KERALA,685608
Kalthotty,Udumbanchola,Idukki,KERALA,685507
Kamakshy,Udumbanchola,Idukki,KERALA,685515
Kanayankavayal,Peerumade,Idukki,KERALA,685532
Kanchiyar,Udumbanchola,Idukki,KERALA,685511
Kanjar,Thodupuzha,Idukki,KERALA,685590
Kanjikuzhi Idukki,Thodupuzha,Idukki,KERALA,685606
Kannickal,Thodupuzha,Idukki,KERALA,685589
Kanthallur,Devikulam,Idukki,KERALA,685620
Karadikuzhy,Peerumade,Idukki,KERALA,685531
Karimannoor,Thodupuzha,Idukki,KERALA,685581
Karimkulam Chappath,Udumbanchola,Idukki,KERALA,685505
Karimkunnam,Thodupuzha,Idukki,KERALA,685586
Karippalangad,Thodupuzha,Idukki,KERALA,685601
Karunapuram,Udumbanchola,Idukki,KERALA,685552
Kattappana,Udumbanchola,Idukki,KERALA,685508
Kattappana South,Udumbanchola,Idukki,KERALA,685515
Keerikara,Peerumade,Idukki,KERALA,685533
Keerithode,Thodupuzha,Idukki,KERALA,685606
Khajanapara,Udumbanchola,Idukki,KERALA,685619
Kochara,Udumbanchola,Idukki,KERALA,685551
Kochukarimtharuvi,Peerumade,Idukki,KERALA,685501
Kochuthovala,Udumbanchola,Idukki,KERALA,685514
Kodikulam,Thodupuzha,Idukki,KERALA,685582
Koduveli,Thodupuzha,Idukki,KERALA,685581
Kolahalamedu,Peerumade,Idukki,KERALA,685501
Kolani,Thodupuzha,Idukki,KERALA,685608
Konnackamali,Udumbanchola,Idukki,KERALA,685604
Konnathady,Udumbanchola,Idukki,KERALA,685563
Koompanpara,Devikulam,Idukki,KERALA,685561
Koottar,Udumbanchola,Idukki,KERALA,685552
Koovakandam,Thodupuzha,Idukki,KERALA,685588
Koovappally kudayathur,Thodupuzha,Idukki,KERALA,685590
Korangatti,Devikulam,Idukki,KERALA,685561
Kottakomboor,Devikulam,Idukki,KERALA,685615
Kottamala,Peerumade,Idukki,KERALA,685503
Koviloor,Devikulam,Idukki,KERALA,685615
Kozhimala,Udumbanchola,Idukki,KERALA,685511
Kudayathur,Thodupuzha,Idukki,KERALA,685590
Kulamavu,Thodupuzha,Idukki,KERALA,685601
Kulaparachal,Udumbanchola,Idukki,KERALA,685619
Kumaramangala,Thodupuzha,Idukki,KERALA,685608
Kumily,Peermade,Idukki,KERALA,685509
Kunchithanni,Devikulam,Idukki,KERALA,685565
Kuninji,Thodupuzha,Idukki,KERALA,685583
Kuttikanam,Peerumade,Idukki,KERALA,685531
Kuzhithozhu,Udumbanchola,Idukki,KERALA,685551
Lakshmi Coil,Peerumade,Idukki,KERALA,685531
Lonetree,Peerumade,Idukki,KERALA,685505
Machiplavu,Devikulam,Idukki,KERALA,685561
Mailacombu,Thodupuzha,Idukki,KERALA,685608
Malayinchi,Thodupuzha,Idukki,KERALA,685595
Mali,Udumbanchola,Idukki,KERALA,685551
Mammattikanam,Udumbanchola,Idukki,KERALA,685566
Manakkad,Thodupuzha,Idukki,KERALA,685608
Manipara,Thodupuzha,Idukki,KERALA,685602
Maniyaramkudy,Thodupuzha,Idukki,KERALA,685602
Manjappara,Udumbanchola,Idukki,KERALA,685553
Mankulam,Devikulam,Idukki,KERALA,685565
Mankuva,Udumbanchola,Idukki,KERALA,685604
Mannamkandam,Devikulam,Idukki,KERALA,685561
Maraiyur,Devikulam,Idukki,KERALA,685620
Marigiri,Udumbanchola,Idukki,KERALA,685609
Mariyapuram,Udumbanchola,Idukki,KERALA,685602
Mathaipara,Peerumade,Idukki,KERALA,685505
Mattupatty ISP,Devikulam,Idukki,KERALA,685616
Mattuppatti,Devikulam,Idukki,KERALA,685616
Mattuthavalam,Peerumade,Idukki,KERALA,685505
Mavady,Udumbanchola,Idukki,KERALA,685553
Meencut,Devikulam,Idukki,KERALA,685565
Melekuppachampady,Udumbanchola,Idukki,KERALA,685514
Meloram,Peermade,Idukki,KERALA,685532
Michaelgiri,Devikulam,Idukki,KERALA,685620
Moolakad,Thodupuzha,Idukki,KERALA,685595
Moolamattom East,Thodupuzha,Idukki,KERALA,685589
Moolamattom,Thodupuzha,Idukki,KERALA,685589
Moongalar,Peerumade,Idukki,KERALA,685533
Mount,Peerumade,Idukki,KERALA,685533
Mrala,Thodupuzha,Idukki,KERALA,685587
Mukkudam,Devikulam,Idukki,KERALA,685562
Mukkudil,Udumbanchola,Idukki,KERALA,685566
Mulakaramedu,Udumbanchola,Idukki,KERALA,685515
Mulakuvally,Thodupuzha,Idukki,KERALA,685602
Mulappuram,Thodupuzha,Idukki,KERALA,685581
Mullarikudy,Udumbanchola,Idukki,KERALA,685571
Mullaringadu,Thodupuzha,Idukki,KERALA,685607
Mundanmudy,Thodupuzha,Idukki,KERALA,685607
Muniyara,Udumbanchola,Idukki,KERALA,685571
Munnar Colony,Devikulam,Idukki,KERALA,685612
Munnar,Devikulam,Idukki,KERALA,685612
Murickassery,Udumbanchola,Idukki,KERALA,685604
Murinjapuzha,Peerumade,Idukki,KERALA,685532
Murukady,Peerumade,Idukki,KERALA,685535
Muthalakodam,Thodupuzha,Idukki,KERALA,685605
Muttom EK,Thodupuzha,Idukki,KERALA,685587
N R City,Udumbanchola,Idukki,KERALA,685566
Narakakanam,Udumbanchola,Idukki,KERALA,685602
Nariampara,Udumbanchola,Idukki,KERALA,685511
Nayarupara,Udumbanchola,Idukki,KERALA,685602
Nediyasala,Thodupuzha,Idukki,KERALA,685608
Nedumkandam,Udumbanchola,Idukki,KERALA,685553
Nellipara,Udumbanchola,Idukki,KERALA,685515
Nettithozhu,Udumbanchola,Idukki,KERALA,685551
Neyyassery,Thodupuzha,Idukki,KERALA,685581
Ottalloor,Thodupuzha,Idukki,KERALA,685586
Pachady,Udumbanchola,Idukki,KERALA,685553
Pachakanam,Peerumade,Idukki,KERALA,685533
Padamugham,Udumbanchola,Idukki,KERALA,685604
Padicap,Devikulam,Idukki,KERALA,685561
Pallikunnu,Peerumade,Idukki,KERALA,685531
Pallivasal,Devikulam,Idukki,KERALA,685565
Pallivasal Estate,Devikulam,Idukki,KERALA,685612
Paloorkavu,Peerumade,Idukki,KERALA,685532
Paloorkavu Central,Peerumade,Idukki,KERALA,685532
Pambanar,Peerumade,Idukki,KERALA,685531
Pampa Dam,Peerumade,Idukki,KERALA,685533
Pampadumpara,NA,Idukki,KERALA,685553
Pampupara,Udumbanchola,Idukki,KERALA,685551
Panamkutty,Udumbanchola,Idukki,KERALA,685562
Pandipara,Udumbanchola,Idukki,KERALA,685609
Panickankudy,Udumbanchola,Idukki,KERALA,685571
Panniar Estate,Udumbanchola,Idukki,KERALA,685613
Pannimattom,Thodupuzha,Idukki,KERALA,685588
Pannoor,Thodupuzha,Idukki,KERALA,685581
Parapuzha,Thodupuzha,Idukki,KERALA,685582
Parathode Idukki,Udumbanchola,Idukki,KERALA,685571
Pasupara,Peerumade,Idukki,KERALA,685501
Pathippally,Thodupuzha,Idukki,KERALA,685589
Pazhayarikandam,Thodupuzha,Idukki,KERALA,685606
Peermade,Peermade,Idukki,KERALA,685531
Perinchankutty,Udumbanchola,Idukki,KERALA,685604
Peringassery,Thodupuzha,Idukki,KERALA,685595
Periyar Lake,Peerumade,Idukki,KERALA,685509
Perumpillichira,Thodupuzha,Idukki,KERALA,685605
Perumthotty,Udumbanchola,Idukki,KERALA,685609
Peruvanthanam,Peermade,Idukki,KERALA,685532
Pethotty,Udumbanchola,Idukki,KERALA,685619
Pius Nagar,Devikulam,Idukki,KERALA,685620
Ponmudi,Udumbanchola,Idukki,KERALA,685563
Poopara,Udumbanchola,Idukki,KERALA,685619
Pothamedu,Devikulam,Idukki,KERALA,685612
Pottenkad,Udumbanchola,Idukki,KERALA,685565
Prakash,Udumbanchola,Idukki,KERALA,685609
Pulickathotty,Thodupuzha,Idukki,KERALA,685607
Puliyanmala,Udumbanchola,Idukki,KERALA,685515
Pullikkanam,Peerumade,Idukki,KERALA,685503
Purapuzha,Thodupuzha,Idukki,KERALA,685583
Pushpakandam,Udumbanchola,Idukki,KERALA,685552
Puthady,Udumbanchola,Idukki,KERALA,685619
Puttady,Udumbanchola,Idukki,KERALA,685551
Rajakad,Udumbanchola,Idukki,KERALA,685566
Rajakandam,Udumbanchola,Idukki,KERALA,685551
Rajakumari,Udumbanchola,Idukki,KERALA,685619
Rajakumari South,Udumbanchola,Idukki,KERALA,685619
Rajamudi,Udumbanchola,Idukki,KERALA,685604
Rajapuram,Udumbanchola,Idukki,KERALA,685604
Ramakkal Mettu,Udumbanchola,Idukki,KERALA,685552
Sahayagiri,Devikulam,Idukki,KERALA,685620
Sanniasioda,Udumbanchola,Idukki,KERALA,685552
Santhanpara,Udumbanchola,Idukki,KERALA,685619
Santhigram,Udumbanchola,Idukki,KERALA,685514
Sasthanoda,Udumbanchola,Idukki,KERALA,685535
Selliampara,Devikulam,Idukki,KERALA,685563
Senapathy,Udumbanchola,Idukki,KERALA,685619
Sengulam,Devikulam,Idukki,KERALA,685565
Sethuparvathipuram,Devikulam,Idukki,KERALA,685615
Sinkukandam,Udumbanchola,Idukki,KERALA,685618
South Kathipara,Devikulam,Idukki,KERALA,685562
Springvalley,Peermade,Idukki,KERALA,685509
Surianalle,Udumbanchola,Idukki,KERALA,685618
Talliar,Devikulam,Idukki,KERALA,685614
Thadiampadu,Thodupuzha,Idukki,KERALA,685602
Thankamany,Udumbanchola,Idukki,KERALA,685609
Thattakuzha,Thodupuzha,Idukki,KERALA,685581
Thattarathatta,Thodupuzha,Idukki,KERALA,685586
Thattekanni,Thodupuzha,Idukki,KERALA,685606
Thekkady,Peerumade,Idukki,KERALA,685509
Thekkumbhagam,Thodupuzha,Idukki,KERALA,685585
Thengakal,Peerumade,Idukki,KERALA,685533
Thodupuzha East,Thodupuzha,Idukki,KERALA,685585
Thodupuzha,Thodupuzha,Idukki,KERALA,685584
Thodupuzha puthuperiyaram,Thodupuzha,Idukki,KERALA,685608
Thodupuzha West,Thodupuzha,Idukki,KERALA,685584
Thokkupara,Devikulam,Idukki,KERALA,685565
Thommankuthu,Thodupuzha,Idukki,KERALA,685581
Thoppipala,Udumbanchola,Idukki,KERALA,685511
Thopramkduy,Udumbanchola,Idukki,KERALA,685609
Thovarayar,Udumbanchola,Idukki,KERALA,685511
Thudanganad,Thodupuzha,Idukki,KERALA,685587
Udumbanchola,Udumbanchola,Idukki,KERALA,685554
Udumbannur,Thodupuzha,Idukki,KERALA,685595
Uppukandam,Udumbanchola,Idukki,KERALA,685514
Upputhara,Peermade,Idukki,KERALA,685505
Upputhode,Udumbanchola,Idukki,KERALA,685604
Vadakkummury,Thodupuzha,Idukki,KERALA,685586
Vagamon,Peermade,Idukki,KERALA,685503
Valara,Devikulam,Idukki,KERALA,685561
Valiyathovala,Udumbanchola,Idukki,KERALA,685514
Vallakadavu Periyar,Peerumade,Idukki,KERALA,685533
Vandamattom,Thodupuzha,Idukki,KERALA,685582
Vandanmettu,Udumbanchola,Idukki,KERALA,685551
Vandiperiyar,Peermade,Idukki,KERALA,685533
Vannapuram,Thodupuzha,Idukki,KERALA,685607
Vattappara UBC,Udumbanchola,Idukki,KERALA,685619
Vattiar,Devikulam,Idukki,KERALA,685565
Vazhavara,Udumbanchola,Idukki,KERALA,685515
Vazhithala,Thodupuzha,Idukki,KERALA,685583
Vellaramkunnu,Udumbanchola,Idukki,KERALA,685535
Vellathooval,Udumbanchola,Idukki,KERALA,685563
Vellayamkudy,Udumbanchola,Idukki,KERALA,685515
Velliyamattom,Thodupuzha,Idukki,KERALA,685588
Vengallur,Thodupuzha,Idukki,KERALA,685608
Venmony,Thodupuzha,Idukki,KERALA,685606
Vimalagiri,Udumbanchola,Idukki,KERALA,685602
Wallardie,Peerumade,Idukki,KERALA,685533
West Kodikulam,Thodupuzha,Idukki,KERALA,685582
Alakode,Taliparamba,Kannur,KERALA,670571
Alakode kuttaramba,Taliparamba,Kannur,KERALA,670571
Alavil,Kannur,Kannur,KERALA,670008
Anchampeedika,Kannur,Kannur,KERALA,670331
Anjarakandy,Thalassery,Kannur,KERALA,670612
Annur,Taliparamba,Kannur,KERALA,670307
Arang,Taliparamba,Kannur,KERALA,670582
Areekamala,Taliparamba,Kannur,KERALA,670582
Aril,Taliparamba,Kannur,KERALA,670143
Arivilanjapoyil,Taliparamba,Kannur,KERALA,670571
Aroli,Kannur,Kannur,KERALA,670561
Attadappa,Kannur,Kannur,KERALA,670006
Azhikkal,Kannur,Kannur,KERALA,670009
Azhikode,Kannur,Kannur,KERALA,670009
Azhikode South,Kannur,Kannur,KERALA,670009
Burnacherry,Kannur,Kannur,KERALA,670013
Chala East,Kannur,Kannur,KERALA,670621
Chalad,Kannur,Kannur,KERALA,670014
Chalakkode,NA,Kannur,KERALA,670307
Chamathachal,Taliparamba,Kannur,KERALA,670633
Chandanakampara,Taliparamba,Kannur,KERALA,670633
Chattuvapara,Taliparamba,Kannur,KERALA,670592
Chekkikulam,Taliparamba,Kannur,KERALA,670592
Cheleri,Taliparamba,Kannur,KERALA,670604
Chempanthotty,Taliparamba,Kannur,KERALA,670631
Chemperi,Taliparamba,Kannur,KERALA,670632
Chengalayi,Taliparamba,Kannur,KERALA,670631
Chepparapadava,Taliparamba,Kannur,KERALA,670581
Cherikode,Taliparamba,Kannur,KERALA,670631
Cherukun R.S.,Kannur,Kannur,KERALA,670301
Cherukunnu,NA,Kannur,KERALA,670301
Cherupazhassi,Taliparamba,Kannur,KERALA,670601
Cherupuzha,Taliparamba,Kannur,KERALA,670511
Chirakk R.S.,Kannur,Kannur,KERALA,670011
Chirakkal,Kannur,Kannur,KERALA,670011
Chithapilapoyil,Taliparamba,Kannur,KERALA,670502
Chittodi,Taliparamba,Kannur,KERALA,670571
Chovva,Kannur,Kannur,KERALA,670006
Chunda,Taliparamba,Kannur,KERALA,670511
Chundakunnu,Taliparamba,Kannur,KERALA,670632
Chuzhali,Taliparamba,Kannur,KERALA,670142
Civil Station Kannur,Kannur,Kannur,KERALA,670002
CRPF Camp Aravanchal,Taliparamba,Kannur,KERALA,670353
Eachur,Kannur,Kannur,KERALA,670591
Edakkom,Taliparamba,Kannur,KERALA,670581
Edat,Kannur,Kannur,KERALA,670327
Edavaramba,Taliparamba,Kannur,KERALA,670511
Edayannur,Thalassery,Kannur,KERALA,670595
Elampara,Thalassery,Kannur,KERALA,670595
Eramam Desom,Taliparamba,Kannur,KERALA,670307
Eriam,Kannur,Kannur,KERALA,670306
Eruvassi,Taliparamba,Kannur,KERALA,670632
Eruvatty chapparapadava,Taliparamba,Kannur,KERALA,670581
Ettikulam,Taliparamba,Kannur,KERALA,670308
Ettukudukka,Taliparamba,Kannur,KERALA,670521
Ezhilode,Taliparamba,Kannur,KERALA,670309
Ezhimala Naval Academy,Taliparamba,Kannur,KERALA,670310
Ezhome,Kannur,Kannur,KERALA,670334
Irinavu,Kannur,Kannur,KERALA,670301
Iriveri,Kannur,Kannur,KERALA,670613
Irukkur,Taliparamba,Kannur,KERALA,670593
Josegiri,Taliparamba,Kannur,KERALA,670511
Kadachira,Kannur,Kannur,KERALA,670621
Kadannapally,Taliparamba,Kannur,KERALA,670504
Kaithapram,Taliparamba,Kannur,KERALA,670631
Kakkara,Taliparamba,Kannur,KERALA,670306
Kakkat,Kannur,Kannur,KERALA,670005
Kalliad,Taliparamba,Kannur,KERALA,670593
Kalliasseri,Kannur,Kannur,KERALA,670562
Kanamvayal,Taliparamba,Kannur,KERALA,670511
Kanayi,Taliparamba,Kannur,KERALA,670307
Kandakai,Taliparamba,Kannur,KERALA,670602
Kandankali,Taliparamba,Kannur,KERALA,670307
Kandoth,Taliparamba,Kannur,KERALA,670307
Kanhirangad,Taliparamba,Kannur,KERALA,670142
